domain,name,path,expires_utc,is_secure,is_httponly,creation_utc,expires_date,creation_date
.microsoft.com,MC1,/,1.3431699004645E+016,True,False,1.3416147004645E+016,2026-08-20 19:30:04,2026-02-21 19:30:04
copilot.microsoft.com,MSFPC,/,1.34316990044435E+016,True,False,1.34161470044436E+016,2026-08-20 19:30:04,2026-02-21 19:30:04
.microsoft.com,MUID,/,1.34316990061292E+016,True,False,1.34161470061292E+016,2026-08-20 19:30:06,2026-02-21 19:30:06
copilot.microsoft.com,MUID,/,1.34316989974132E+016,True,False,1.34161469974132E+016,2026-08-20 19:29:57,2026-02-21 19:29:57
copilot.microsoft.com,MUIDB,/,1.34316989974133E+016,False,True,1.34161469974133E+016,2026-08-20 19:29:57,2026-02-21 19:29:57
www.bing.com,MUIDB,/,1.34316989969756E+016,False,True,1.34161461787022E+016,2026-08-20 19:29:56,2026-02-21 19:16:18
.c1.microsoft.com,SM,/,0,True,False,1.34161470061291E+016,Never,2026-02-21 19:30:06
.bing.com,SRCHHPGUSR,/,1.34316989881149E+016,True,False,1.34161469881149E+016,2026-08-20 19:29:48,2026-02-21 19:29:48
copilot.microsoft.com,_C_Auth,/,0,False,False,1.34161469974132E+016,Never,2026-02-21 19:29:57
copilot.microsoft.com,_C_Auth,/cl/tag,0,False,False,1.34161470010817E+016,Never,2026-02-21 19:30:01
copilot.microsoft.com,_EDGE_S,/,0,False,True,1.34161469974134E+016,Never,2026-02-21 19:29:57
copilot.microsoft.com,_EDGE_V,/,1.34316989974134E+016,False,True,1.34161469974134E+016,2026-08-20 19:29:57,2026-02-21 19:29:57
copilot.microsoft.com,__Host-copilot-anon,/,1.34316990005653E+016,True,True,1.34161470005653E+016,2026-08-20 19:30:00,2026-02-21 19:30:00
copilot.microsoft.com,msal.cache.encryption,/,0,True,False,1.3416146999299E+016,Never,2026-02-21 19:29:59
.msn.com,MUID,/service/news/feed/segments,0,True,False,1.34161496475465E+016,Never,2026-02-21 20:14:07
.msn.com,MUIDB,/service/news/feed/segments,0,True,False,1.34161496475466E+016,Never,2026-02-21 20:14:07
assets.msn.com,_C_Auth,/service/news/feed/segments,0,False,False,1.34161496475465E+016,Never,2026-02-21 20:14:07
www.msn.com,_C_Auth,/nl-nl/nieuws/buitenland/trump-claimt-dat-hooggerechtshof-wordt-be%C3%AFnvloed-door-buitenlandse-belangen,0,False,False,1.34161496565142E+016,Never,2026-02-21 20:14:16
www.msn.com,msaoptout,/,1.3416236033E+016,False,False,1.34161496334622E+016,2026-02-22 20:13:53,2026-02-21 20:13:53
assets.msn.com,sptmarket,/,1.34317016479006E+016,False,False,1.34161496479006E+016,2026-08-20 20:14:07,2026-02-21 20:14:07
